"Регион";"Дата";"Маркер";"Запросов на млн"
Калининградская область;20.10.2020;что делать если не едет скорая;1.0165401243635188
Калининградская область;24.11.2020;доставка еды на дом;49.27807618390578
Калининградская область;31.12.2020;сдать тест;196.18981804126426
Калининградская область;26.06.2022;симптомы коронавируса;6.905592494081332
Калининградская область;26.12.2020;вторая волна;8.577359202648688
Калининградская область;08.10.2021;вторая волна;0.944887544208926
Калининградская область;22.01.2022;симптомы коронавируса;234.98058814980627
Калининградская область;26.09.2020;купить антисептик;2.592399602844381
Калининградская область;26.12.2021;что делать дома;4.0004240449487645
Калининградская область;09.05.2022;пульсоксиметр и сатурация;10.541862262136055
Калининградская область;17.12.2021;сделать КТ;10.501361238950599
Калининградская область;03.04.2021;сделать КТ;5.569274535160501
Калининградская область;21.07.2021;как не заразиться;0
Калининградская область;10.09.2021;пропало обоняние;60.19535944791673
Калининградская область;04.08.2022;симптомы коронавируса;59.436985589941315
Калининградская область;16.04.2021;вторая волна;1.014241985966948
Калининградская область;03.11.2020;пульсоксиметр и сатурация;276.6157598536132
Калининградская область;23.01.2021;симптомы коронавируса;123.34709435725247
Калининградская область;23.08.2020;антитела;51.71686738999558
Калининградская область;26.02.2021;доставка еды на дом;55.48076701636997
Калининградская область;06.09.2020;вторая волна;41.7639623682132
Калининградская область;20.06.2020;купить антисептик;2.819923890254202
Калининградская область;22.10.2020;симптомы коронавируса;446.58825183442326
Калининградская область;16.04.2022;что делать если не едет скорая;0
Калининградская область;28.07.2021;симптомы коронавируса;211.02880179301715
Калининградская область;17.07.2021;купить маску и респиратор;12.060005764682757
Калининградская область;05.06.2020;что делать дома;2.2693747872461136
Калининградская область;22.04.2021;симптомы коронавируса;66.07190511044733
Калининградская область;03.03.2020;что делать если не едет скорая;1.1214005844739845
Калининградская область;19.06.2022;что делать дома;3.013343083172287
Калининградская область;24.05.2020;сдать тест;117.0301240519315
Калининградская область;11.08.2021;пропало обоняние;65.56998421427096
Калининградская область;27.10.2021;как не заразиться;0.8948922236550441
Калининградская область;01.04.2022;что делать если не едет скорая;0
Калининградская область;25.10.2020;доставка еды на дом;80.76640394509269
Калининградская область;03.12.2021;антитела;216.84036483391384
Калининградская область;05.03.2020;симптомы коронавируса;344.3592278674205
Калининградская область;24.03.2021;антитела;397.4937080017168
Калининградская область;05.06.2022;купить маску и респиратор;2.1381410146762
Калининградская область;22.10.2020;купить антисептик;0
Калининградская область;03.05.2022;что делать дома;0.8986736475635609
Калининградская область;02.06.2021;вторая волна;0
Калининградская область;20.08.2020;вторая волна;81.14287350780643
Калининградская область;27.07.2021;как не заразиться;0
Калининградская область;10.10.2021;пропало обоняние;135.81130764947488
Калининградская область;28.07.2021;сдать тест;334.7353407751306
Калининградская область;01.11.2021;пульсоксиметр и сатурация;209.75589994733596
Калининградская область;12.04.2022;сдать тест;55.678523502388934
Калининградская область;31.01.2021;доставка еды на дом;58.294143770316836
Калининградская область;11.02.2022;что делать дома;0.8341709800257759
Калининградская область;17.06.2020;купить маску и респиратор;8.838294562681185
Калининградская область;20.07.2020;купить антисептик;0
Калининградская область;03.10.2020;что делать если не едет скорая;0
Калининградская область;12.01.2021;вторая волна;2.98383062186014
Калининградская область;18.02.2021;купить маску и респиратор;4.813853113937164
Калининградская область;06.09.2021;пропало обоняние;59.574163876609994
Калининградская область;29.10.2021;как не заразиться;0
Калининградская область;16.10.2020;сделать КТ;21.59922970326069
Калининградская область;22.08.2021;вторая волна;0
Калининградская область;22.12.2020;антитела;239.41845822053645
Калининградская область;22.09.2020;купить антисептик;0
Калининградская область;28.11.2020;доставка еды на дом;58.78610158238353
Калининградская область;16.05.2021;купить маску и респиратор;7.546885023206671
Калининградская область;16.05.2022;что делать дома;0.8166225146093767
Калининградская область;26.08.2021;как не заразиться;0
Калининградская область;09.11.2021;пропало обоняние;48.78740076991165
Калининградская область;20.05.2021;вторая волна;0
Калининградская область;03.08.2020;вторая волна;75.57047118188781
Калининградская область;02.09.2020;пульсоксиметр и сатурация;7.988906832227251
Калининградская область;14.08.2020;сдать тест;143.5170998685073
Калининградская область;19.08.2020;купить антисептик;1.1941510481660824
Калининградская область;25.01.2022;что делать дома;2.3138096644744603
Калининградская область;08.03.2022;пульсоксиметр и сатурация;39.057818887118465
Калининградская область;28.12.2020;доставка еды на дом;66.70112891660692
Калининградская область;10.11.2021;что делать если не едет скорая;0
Калининградская область;07.08.2021;пропало обоняние;56.62419851777833
Калининградская область;29.09.2021;как не заразиться;0.8690694699371488
Калининградская область;25.01.2021;вторая волна;5.566590806404177
Калининградская область;07.10.2021;сделать КТ;12.246818888793635
Калининградская область;18.06.2022;сделать КТ;7.116178734011471
Калининградская область;14.03.2020;антитела;12.787053364209804
Калининградская область;19.04.2020;лечение коронавируса;83.27698257512417
Калининградская область;08.09.2021;вторая волна;0
Калининградская область;02.03.2022;сдать тест;71.21008334780205
Калининградская область;21.06.2021;сдать тест;388.705822980214
Калининградская область;23.08.2020;купить антисептик;0
Калининградская область;24.10.2021;что делать если не едет скорая;0.9369840731447248
Калининградская область;09.12.2020;вторая волна;16.29796515111569
Калининградская область;12.06.2021;лечение коронавируса;51.24837238965466
Калининградская область;25.09.2021;вторая волна;0
Калининградская область;24.12.2020;доставка еды на дом;57.94524174654951
Калининградская область;11.09.2021;лечение коронавируса;132.4113739199519
Калининградская область;12.08.2020;купить маску и респиратор;12.275541719656088
Калининградская область;08.01.2022;что делать дома;3.837832392264849
Калининградская область;29.07.2020;лечение коронавируса;33.61372784645249
Калининградская область;24.08.2021;как не заразиться;0.9928623128330433
Калининградская область;14.10.2021;пропало обоняние;118.10438218238207
Калининградская область;06.11.2020;сделать КТ;62.13786976120526
Калининградская область;25.04.2021;пульсоксиметр и сатурация;20.65789770209058
Калининградская область;09.11.2020;лечение коронавируса;338.5917816194188
Калининградская область;03.05.2021;вторая волна;0.9450911493158958
Калининградская область;25.10.2021;антитела;460.62522638448064
Калининградская область;10.07.2022;антитела;28.097306592190073
Калининградская область;24.03.2020;сделать КТ;1.1147650632629174
Калининградская область;24.07.2020;купить антисептик;0
Калининградская область;10.08.2022;пульсоксиметр и сатурация;14.725005913010188
Калининградская область;19.09.2020;вторая волна;32.58972276574638
Калининградская область;27.01.2021;доставка еды на дом;34.042778533758614
Калининградская область;08.07.2021;пропало обоняние;71.01960140998916
Калининградская область;23.09.2021;как не заразиться;0
Калининградская область;09.08.2022;что делать если не едет скорая;0.9010129187232288
Калининградская область;19.05.2020;что делать дома;36.19250986484003
Калининградская область;02.12.2021;лечение коронавируса;136.46989313604604
Калининградская область;02.06.2022;что делать дома;1.7794575857387152
Калининградская область;12.05.2022;лечение коронавируса;21.2481142298621
Калининградская область;27.11.2021;купить маску и респиратор;7.4473264563479615
Калининградская область;18.04.2021;как не заразиться;0
Калининградская область;08.06.2021;пропало обоняние;42.43501548878065
Калининградская область;25.05.2020;вторая волна;11.661758126655174
Калининградская область;22.06.2021;купить маску и респиратор;7.289054755379322
Калининградская область;29.01.2021;антитела;302.9584414146279
Калининградская область;08.06.2022;вторая волна;0
Калининградская область;27.04.2021;что делать дома;8.570551926402956
Калининградская область;09.10.2020;пульсоксиметр и сатурация;114.80495093509201
Калининградская область;29.12.2020;купить антисептик;0
